Date,regime,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3
2018-12-18,3,4.14344663394476e-36,4.367269471526044e-08,4.186177453684992e-34,0.9999999563278844
2018-12-19,3,1.3761367448712912e-41,4.524927999990731e-07,1.2367397995064162e-35,0.9999995475064793
2018-12-20,3,2.209736093631402e-47,1.3152100520348547e-09,1.1957144726641118e-34,0.9999999986848707
2018-12-21,3,3.4009618893042066e-48,2.3268298103350748e-10,7.277139383418041e-36,0.9999999997671694
2018-12-24,3,6.290428349169554e-53,4.46902160571116e-10,4.1962686301612106e-39,0.9999999995525286
2018-12-26,3,1.0625760091102868e-55,1.6480360925415812e-10,1.7129690186283567e-40,0.999999999834472
2018-12-27,3,5.937789345640914e-54,3.416530584080274e-10,1.0470645968908593e-40,0.99999999965803
2018-12-28,3,6.921211838754529e-52,3.3145477432504217e-09,3.2053140941630507e-41,0.9999999966858013
2018-12-31,3,2.1677577435936917e-55,1.896360256911665e-08,1.0296502534150952e-43,0.9999999810370357
2019-01-02,3,2.084131698234817e-52,2.636058608999969e-09,5.350259307217947e-44,0.9999999973642844
2019-01-03,3,1.5670771959942105e-50,4.924007458043002e-09,3.825201035761094e-46,0.9999999950759957
2019-01-04,3,2.934609294399064e-42,1.2720311325818968e-05,3.104991608685091e-46,0.999987279687916
2019-01-07,3,1.3099686009142586e-38,0.009176908746424888,2.723629259511797e-46,0.9908230912533732
2019-01-08,3,1.876322408571404e-35,0.2375554040440665,3.596241976155023e-46,0.7624445959556594
